ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
39009947;52;36.4;36.6;28.1;27.8;-73;-0.53;0;0.57;-0.12;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.987;0;28;0.052;0.046;39006124;0.8226;0.0253;40.8784;1.4648;1.017;230.4;0;-0.43;0;7531;7547.26;1;39006124;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010071;52;36.4;36.4;28;27.8;-73.2;-0.53;0;0.56;-0.14;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;317.22;0;28;0.052;0.045;39009948;0.8226;0.0253;40.8784;1.4648;1.017;230.42;0;-0.41;0;7531;7547.26;1;39010007;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010128;52;36.4;36.4;28;27.7;-74.1;-0.55;0;0.57;-0.13;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;317.287;0;28;0.052;0.045;39010072;0.8226;0.0253;40.8784;1.4648;1.017;230.421;0;0.28;0;7531;7547.26;1;39010081;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010194;52;36.4;36.5;28;27.7;-74.6;-0.43;0;0.47;-0.1;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;317.062;0;28;0.053;0.045;39010128;0.8226;0.0253;40.8784;1.4648;1.017;230.422;0;0.15;0;7531;7547.26;1;39010149;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010262;52;36.5;36.4;28;27.7;-74.6;-0.53;0;0.57;-0.12;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.842;0;28;0.053;0.045;39010195;0.8226;0.0253;40.8784;1.4648;1.017;230.422;0;-0.52;0;7531;7547.26;1;39010217;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010331;52;36.4;36.3;28;27.8;-74.8;-0.51;0;0.53;-0.13;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.695;0;28;0.054;0.046;39010289;0.8226;0.0253;40.8784;1.4648;1.017;230.424;0;-0.5;0;7531;7547.26;1;39010289;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010375;52;36.4;36.4;28;27.7;-74.5;-0.46;0;0.48;-0.1;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.635;0;28;0.054;0.045;39010289;0.8226;0.0253;40.8784;1.4648;1.017;230.424;0;-0.5;0;7531;7547.26;1;39010289;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010444;52;36.4;36.5;28;27.8;-74.4;-0.44;0;0.49;-0.09;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.694;0;28;0.052;0.046;39010376;0.8226;0.0253;40.8784;1.4648;1.017;230.426;0;-0.8;0;7531;7547.26;1;39010398;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010555;52;36.4;36.4;28;27.8;-74.2;-0.51;0;0.54;-0.12;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.582;0;28;0.053;0.045;39010445;0.8226;0.0253;40.8784;1.4648;1.017;230.427;0;-0.67;0;7531;7547.26;1;39010467;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
39010624;52;36.4;36.4;28;27.7;-74;-0.54;0;0.56;-0.13;0;0;0.8226;0.0253;40.8784;1.4648;519873;520995;316.552;0;28;0.053;0.046;39010556;0.8226;0.0253;40.8784;1.4648;1.017;230.43;-0.01;-0.81;0;7531;7547.26;1;39010579;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
