# Time [sec]	adc_raw[0]	adc_raw[1]	adc_raw[2]	adc_raw[3]	adc_raw[4]	adc_raw[6]
------------	----------	----------	----------	----------	----------	----------
84	2101	1996	2112	37471531	536871334	335814656
84.016	2102	1999	2111	37471531	536871336	335814656
84.031	2100	2000	2110	37471531	536871336	335814656
84.047	2102	2001	2108	37471531	536871336	335814656
84.063	2102	1999	2103	37471531	536871336	335814656
84.078	2106	2000	2104	37471531	536871336	335814656
84.094	2107	2003	2103	37471531	536871336	335814656
84.109	2108	2000	2100	37471531	536871336	335814656
84.125	2103	1999	2100	37471531	536871336	335814656
84.141	2108	1999	2100	37471531	536871336	335814656
84.156	2106	1999	2098	37471531	536871336	335814656
84.172	2106	2000	2097	37471531	536871336	335814656
84.188	2103	1999	2094	37471531	536871336	335814656
84.203	2107	1997	2095	37471531	536871336	335814656
84.219	2107	1998	2090	37471531	536871336	335814656
84.234	2105	1999	2088	37471531	536871336	335814656
84.25	2108	1999	2091	37471531	536871336	335814656
84.266	2109	1998	2089	37471531	536871336	335814656
84.281	2109	2000	2084	37471531	536871336	335814656
84.297	2116	2000	2084	37471531	536871336	335814656
84.313	2113	1999	2084	37471531	536871336	335814656
84.328	2115	1999	2082	37471531	536871336	335814656
84.344	2108	2001	2081	37471531	536871336	335814656
84.359	2113	1999	2079	37471531	536871336	335814656
84.375	2112	2001	2076	37471531	536871336	335814656
84.391	2110	2000	2075	37471531	536871336	335814656
84.406	2115	2000	2075	37471531	536871336	335814656
84.422	2116	2000	2072	37471531	536871336	335814656
84.438	2115	1998	2071	37471531	536871336	335814656
84.453	2110	1997	2069	37471531	536871336	335814656
84.469	2116	1999	2069	37471531	536871336	335814656
84.484	2112	1999	2067	37471531	536871336	335814656
84.5	2113	2002	2065	37471531	536871336	335814656
84.516	2118	2001	2066	37471531	536871336	335814656
84.531	2115	2000	2063	37471531	536871336	335814656
84.547	2119	2005	2059	37471531	536871336	335814656
84.563	2117	1998	2061	37471531	536871336	335814656
84.578	2126	1997	2060	37471531	536871336	335814656
84.594	2119	2001	2057	37471531	536871336	335814656
84.609	2125	2002	2057	37471531	536871336	335814656
84.625	2113	2004	2055	71025963	536870932	335814656
84.641	2119	2000	2054	71025963	536870932	335814656
84.656	2120	2000	2054	71025963	536870932	335814656
84.672	2120	2002	2050	71025963	536870932	335814656
84.688	2120	2000	2049	71025963	536870932	335814656
84.703	2121	2004	2045	71025963	536870932	335814656
84.719	2123	2000	2047	71025963	536870932	335814656
84.734	2127	2001	2042	71025963	536870932	335814656
84.75	2121	2000	2042	71025963	536870932	335814656
84.766	2131	2001	2039	71025963	536870932	335814656
84.781	2124	2002	2040	71025963	536870932	335814656
84.797	2122	2003	2036	71025963	536870932	335814656
84.813	2121	2001	2036	71025963	536870932	335814656
84.828	2124	2002	2033	71025963	536870932	335814656
84.844	2122	2001	2036	71025963	536870932	335814656
84.859	2124	2001	2034	71025963	536870932	335814656
84.875	2123	2001	2035	71025963	536870932	335814656
84.891	2121	2001	2034	71025963	536870932	335814656
84.906	2123	2001	2030	71025963	536870932	335814656
84.922	2124	2002	2028	71025963	536870932	335814656
84.938	2120	2002	2028	71025963	536870932	335814656
84.953	2128	2002	2026	20694315	536880094	335814656
84.969	2123	2001	2025	71025963	536879648	335814656
84.984	2128	2001	2025	71025963	536879648	335814656
85	2129	2000	2026	37471531	536871334	335814656
85.016	2127	2001	2023	37471531	536871336	335814656
85.031	2125	2001	2021	37471531	536871336	335814656
85.047	2123	2008	2019	37471531	536871336	335814656
85.063	2137	2003	2021	37471531	536871336	335814656
85.078	2128	2004	2019	37471531	536871336	335814656
85.094	2140	2004	2019	37471531	536871336	335814656
85.109	2130	2002	2021	37471531	536871336	335814656
85.125	2129	2003	2021	37471531	536871336	335814656
85.141	2132	2004	2020	37471531	536871336	335814656
85.156	2125	2003	2017	37471531	536871336	335814656
85.172	2125	2004	2016	37471531	536871336	335814656
85.188	2128	2004	2016	37471531	536871336	335814656
85.203	2124	2004	2016	37471531	536871336	335814656
85.219	2129	2004	2017	37471531	536871336	335814656
85.234	2124	2002	2016	37471531	536871336	335814656
85.25	2126	2006	2016	37471531	536871336	335814656
85.266	2128	2004	2014	37471531	536871336	335814656
85.281	2131	2004	2018	37471531	536871336	335814656
85.297	2125	2003	2016	37471531	536871336	335814656
85.313	2129	2007	2015	37471531	536871336	335814656
85.328	2130	2003	2017	37471531	536871336	335814656
85.344	2131	2009	2003	37471531	536871336	335814656
85.359	2133	2007	2002	37471531	536871336	335814656
85.375	2132	2006	1999	37471531	536871336	335814656
85.391	2131	2004	1997	37471531	536871336	335814656
85.406	2131	2006	1998	37471531	536871336	335814656
85.422	2142	2015	1998	37471531	536871336	335814656
