# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-356	396	-38	855	921	945
0.0001	-385	383	3	854	909	946
0.0002	-402	354	48	853	898	946
0.0003	-405	327	79	854	886	946
0.0004	-404	286	120	856	874	944
0.0005	-392	222	170	858	863	941
0.0006	-369	159	211	866	858	942
0.0007	-333	87	247	877	855	945
0.0008	-304	16	290	889	854	946
0.0009	-274	-30	304	900	853	947
0.001	-236	-84	322	912	854	946
0.0011	-200	-134	334	924	855	945
0.0012	-140	-190	330	935	858	942
0.0013	-82	-238	320	942	858	936
0.0014	-24	-292	318	944	856	925
0.0015	9	-321	313	946	854	913
0.0016	44	-340	298	947	853	901
0.0017	86	-368	282	946	854	889
0.0018	125	-379	255	945	855	878
0.0019	168	-384	216	942	857	867
0.002	204	-390	188	941	863	859
0.0021	246	-380	136	944	873	856
0.0022	286	-368	82	946	885	854
0.0023	314	-356	42	947	897	853
0.0024	334	-328	-4	946	909	854
0.0025	346	-300	-46	945	920	855
0.0026	340	-266	-74	943	931	857
0.0027	333	-219	-113	939	941	859
0.0028	320	-168	-150	928	943	856
0.0029	291	-109	-181	917	945	855
0.003	258	-40	-216	905	946	854
0.0031	224	14	-236	893	946	854
0.0032	192	62	-254	882	945	855
0.0033	137	117	-253	870	943	857
0.0034	78	176	-252	860	940	860
0.0035	15	229	-243	857	943	870
0.0036	-32	270	-238	855	945	881
0.0037	-62	306	-242	854	946	893
0.0038	-106	330	-222	853	946	905
0.0039	-165	359	-193	854	946	916
0.004	-210	382	-172	856	944	928
0.0041	-262	392	-128	859	941	938
0.0042	-314	400	-86	857	931	943
0.0043	-356	396	-40	855	920	945
0.0044	-385	379	7	854	909	946
0.0045	-400	362	38	853	897	946
0.0046	-402	330	74	854	885	946
0.0047	-406	278	130	856	874	944
0.0048	-391	225	167	859	863	941
0.0049	-361	159	203	867	857	943
0.005	-332	82	250	878	855	945
0.0051	-299	17	283	889	854	946
0.0052	-271	-33	305	901	853	947
0.0053	-241	-85	327	913	854	946
0.0054	-197	-137	335	924	855	944
0.0055	-141	-185	327	935	858	942
0.0056	-82	-238	320	942	858	935
0.0057	-30	-290	322	944	856	924
0.0058	15	-317	303	946	854	913
0.0059	47	-341	295	947	853	901
0.006	82	-362	280	946	854	889
0.0061	125	-373	249	945	855	877
0.0062	160	-384	224	942	858	866
0.0063	212	-386	176	942	863	858
0.0064	253	-387	135	944	874	856
0.0065	290	-372	82	946	885	854
0.0066	318	-346	30	947	897	853
0.0067	335	-325	-9	946	909	854
0.0068	342	-302	-38	945	921	855
0.0069	342	-264	-76	943	932	857
0.007	334	-218	-116	939	941	859
0.0071	316	-170	-146	928	944	856
0.0072	290	-106	-184	916	945	855
0.0073	259	-35	-223	905	946	854
0.0074	220	10	-230	893	946	854
0.0075	184	68	-250	881	945	855
0.0076	133	125	-257	870	943	857
0.0077	67	179	-245	860	940	860
0.0078	16	236	-250	857	943	871
0.0079	-34	274	-238	855	945	882
0.008	-71	305	-233	854	946	893
0.0081	-108	332	-222	854	946	905
0.0082	-162	362	-200	854	945	917
0.0083	-212	378	-164	856	944	928
0.0084	-259	393	-133	859	941	939
0.0085	-311	397	-85	857	931	943
0.0086	-358	388	-30	855	920	945
0.0087	-387	379	9	854	908	946
0.0088	-402	364	40	853	896	946
0.0089	-412	326	86	854	885	946
0.009	-402	280	124	856	873	944
0.0091	-387	223	165	859	862	941
0.0092	-363	157	207	867	857	943
0.0093	-332	82	252	878	855	945
0.0094	-296	14	282	890	854	946
0.0095	-269	-33	303	901	853	947
0.0096	-236	-84	322	913	854	946
0.0097	-195	-135	331	925	856	944
0.0098	-134	-192	328	936	858	942
0.0099	-79	-243	323	942	858	934
0.01	-20	-292	312	945	855	923
0.0101	20	-320	302	946	854	912
0.0102	48	-344	298	947	853	900
0.0103	91	-365	275	946	854	888
0.0104	134	-380	246	945	855	877
0.0105	166	-388	222	942	858	866
0.0106	216	-392	176	942	864	858
0.0107	258	-382	124	944	875	856
0.0108	291	-369	79	946	886	854
0.0109	310	-348	38	947	898	853
0.011	334	-322	-12	946	910	854
0.0111	339	-297	-41	945	921	855
0.0112	343	-259	-83	943	932	857
0.0113	333	-221	-111	938	941	859
0.0114	314	-164	-150	927	944	856
0.0115	293	-99	-193	916	945	854
0.0116	252	-38	-212	904	946	854
0.0117	219	19	-237	892	946	854
0.0118	184	72	-254	880	945	855
0.0119	132	122	-252	869	943	857
0.012	69	181	-249	859	941	861
0.0121	9	237	-245	856	944	871
0.0122	-39	281	-241	854	945	882
0.0123	-74	314	-238	854	946	894
0.0124	-115	343	-227	854	946	906
0.0125	-170	366	-194	855	945	917
0.0126	-218	388	-170	857	943	929
0.0127	-264	398	-134	859	941	939
0.0128	-321	395	-73	857	931	943
0.0129	-360	392	-30	855	919	945
0.013	-385	383	3	854	907	946
0.0131	-400	356	46	853	896	946
0.0132	-404	324	82	854	884	946
0.0133	-398	276	122	856	873	944
0.0134	-386	216	172	859	862	941
0.0135	-363	153	211	868	857	943
0.0136	-328	78	252	879	855	945
0.0137	-292	6	286	891	854	946
0.0138	-266	-38	306	902	853	947
0.0139	-230	-88	318	914	854	946
0.014	-189	-145	335	925	856	944
0.0141	-134	-198	332	936	858	942
0.0142	-74	-246	322	942	858	934
0.0143	-14	-304	318	945	855	923
0.0144	15	-325	311	946	854	911
0.0145	52	-348	296	947	853	899
0.0146	89	-371	283	946	854	888
0.0147	132	-380	248	945	855	876
0.0148	178	-390	212	942	858	865
0.0149	220	-390	170	942	864	858
0.015	248	-380	134	944	875	856
0.0151	291	-367	77	946	887	854
0.0152	326	-358	32	947	898	853
0.0153	332	-324	-8	946	910	854
0.0154	346	-296	-50	945	921	855
0.0155	343	-265	-77	943	932	857
0.0156	334	-216	-118	937	941	859
0.0157	312	-164	-148	926	944	856
0.0158	290	-96	-192	915	946	854
0.0159	252	-36	-216	904	946	854
0.016	217	21	-237	892	946	854
0.0161	177	69	-245	880	945	855
0.0162	133	125	-257	869	943	857
0.0163	66	186	-250	859	941	861
0.0164	8	236	-244	856	944	872
0.0165	-30	278	-248	854	945	883
0.0166	-72	310	-236	854	946	894
0.0167	-119	339	-219	854	946	906
0.0168	-168	366	-198	855	945	918
0.0169	-218	388	-170	857	943	929
0.017	-272	394	-122	860	940	940
0.0171	-326	398	-70	857	930	943
0.0172	-361	393	-31	855	919	945
0.0173	-385	377	9	854	907	946
0.0174	-400	360	42	854	895	946
0.0175	-400	320	80	854	883	946
0.0176	-402	274	130	856	872	944
0.0177	-383	219	165	859	861	941
0.0178	-356	150	208	868	857	943
0.0179	-323	69	255	879	855	945
0.018	-290	10	282	891	854	946
0.0181	-265	-37	303	903	853	947
0.0182	-234	-90	324	915	854	946
0.0183	-188	-140	328	926	856	944
0.0184	-130	-194	324	937	858	942
0.0185	-72	-252	326	942	858	933
0.0186	-24	-296	320	945	855	922
0.0187	22	-322	302	946	854	911
0.0188	47	-347	301	946	853	899
0.0189	87	-361	275	946	854	887
0.019	136	-374	240	944	856	876
0.0191	170	-386	218	942	858	865
0.0192	217	-385	169	942	865	858
0.0193	254	-380	126	944	876	855
0.0194	287	-367	81	946	887	854
0.0195	318	-344	28	947	899	853
0.0196	337	-319	-17	946	911	854
0.0197	340	-298	-42	945	922	855
0.0198	337	-257	-79	942	933	857
0.0199	332	-206	-124	937	941	859
0.02	311	-161	-149	926	944	856
0.0201	284	-92	-190	914	946	854
0.0202	250	-24	-224	903	946	854
0.0203	210	20	-230	891	946	854
0.0204	174	74	-248	879	945	855
0.0205	127	131	-257	868	943	857
0.0206	55	189	-243	859	941	862
0.0207	3	245	-247	856	944	873
0.0208	-32	286	-252	854	946	884
0.0209	-76	310	-232	853	946	895
0.021	-122	342	-220	854	946	907
0.0211	-169	371	-201	855	945	918
0.0212	-223	385	-161	857	943	930
0.0213	-276	400	-124	860	940	940
0.0214	-323	403	-79	857	929	943
